,id,SERIAL_NUMBER,MANUFACTURER,NAME,MODEL,LOCATION,ROOM,ENERGY_CONSUMPTION,BTU,MICROCODE,PATCH_LEVEL,CUSTOMER_ID,HOSTS_APPLICATION,TCPADDR1,TCPADDR2,TCPADDR3,SW_GUI,INVESTMENT_DATE,MAINTENANCE_EXPIRATION_DATE,MAINTENANCE_PROVIDER,MAINTENANCE_CONTRACT,IS_EXTENSION_REQUIRED,IS_MIGRATION_REQUIRED,RAID_CONFIG,USABLE_CAPACITY_GB,CAPACITY_IN_USE_GB,FREE_CAPACITY_GB,EXTENSION,COMMENT_1,STORAGE_TYPE,READADMIN,RACK,COST_CENTER,CO2_KG,SECOND_INVESTMENT_DATE
13,1535,782432N,IBM,SWFFM06,2076-AF6,FFM,M2,0,,1 Modul,7.7.1.6,879430,MMS/-Inter/HO,10.21.151.157,10.21.151.158,10.21.151.159,,31.03.2017,31.03.2021,IBM,,,,,133000.0,,,,,Flash Block,,C5,,,
14,1534,782429T,IBM,SWFFM05,2076-AF6,FFM,M2,0,,1 Modul,7.7.1.6,879430,MMS/-Inter/VMware (SVCF07),10.21.151.154,10.21.151.155,10.21.151.156,,31.03.2017,31.03.2021,IBM,,,,,133000.0,,,,SVCF07,Flash Block,,C5,,,
15,1533,782429N,IBM,SWFFM04,2076-AF6,FFM,M2,0,,1 Modul,7.7.1.6,879430,MMS/-Inter/HO (SVCF04),10.21.151.151,10.21.151.152,10.21.151.153,,31.03.2017,31.03.2021,IBM,,,,,133000.0,,,,SVCF04,Flash Block,,C5,,,
16,1532,782429E,IBM,SWFFM03,2076-AF6,FFM,M2,0,,1 Modul,7.7.1.6,879430,MMS/-Inter/HO (SVCF02),10.21.151.148,10.21.151.149,10.21.151.150,,31.03.2017,31.03.2021,IBM,,,,,133000.0,,,,SVCF02,Flash Block,,C5,,,
17,1531,782433M,IBM,SWDUS05,2076-AF6,DUS,H2M4,0,,1 Modul,7.7.1.6,323087,MMS/-Inter/HO,10.16.72.89,10.16.72.90,10.16.72.92,,31.03.2017,31.03.2021,IBM,,,,,133000.0,,,,,Flash Block,,F8,3310-601,,
18,1530,782433N,IBM,SWDUS04,2076-AF6,DUS,H2M4,0,,1 Modul,7.7.1.6,323087,MMS/-Inter/HO,10.16.72.86,10.16.72.87,10.16.72.88,,31.03.2017,31.03.2021,IBM,,,,,133000.0,,,,,Flash Block,,F8,3310-601,,
19,1529,78241TF,IBM,SWDUS03,2076-AF6,DUS,H1M3,0,,1 Modul,7.7.1.6,323087,MMS/-Inter/HO,10.16.72.83,10.16.72.84,10.16.72.85,,31.03.2017,31.03.2021,IBM,,,,,133000.0,,,,,Flash Block,,G7,3310-601,,
20,1528,782434L,IBM,SWDUS02,2076-AF6,DUS,H1M3,0,,1 Modul,7.7.1.6,323087,MMS/-Inter/HO,10.16.72.80,10.16.72.81,10.16.72.82,,31.03.2017,31.03.2021,IBM,,,,,133000.0,,,,,Flash Block,,G7,3310-601,,
21,1525,CKM00162900935,EMC DataDomain,FFM30VTLDD04,DD9500,FFM,M4,0,,,,,SAP Backup DD Boost,,,,,,,,,,,,,,,,,,,,,,
22,1524,480491,HDS,HDSVSPG200-FLASH-MHS-HKG,VSP G200 FLASH,"CN, HKG",Telehouse data center,0,,83-04-47-20/00,,622469I,FLASH for Metro Cloud MHS,10.250.4.54,10.250.4.55,10.250.4.56,Hitachi Device Manager,01.07.2016,30.06.2020,ComputaCenter,,,,,,,,,,Flash Block,,,3310-601,,
23,1507,470543,HDS,HDS-DUS30MANC10-EXCHANGE,VSP G600,DUS,M6,0,,,,387719 i,Exchange,10.16.229.15,,,Hitachi Command Suite 8,01.05.2016,30.04.2020,HDS,,,,,,,,,,,,A9+A10,,,
24,1506,470499,HDS,HDS-FFM30MANC10-EXCHANGE,VSP G600,FFM,M7,0,,,,490863i,Exchange,10.21.10.15,,,Hitachi Command Suite 8,01.05.2016,30.04.2020,HDS,,,,,,,,,,,,L14+L15,,,
25,1505,30130-90056,HDS,dus-hcp01.asf.madm.net,HCP S10,DUS,M4,0,,,,387719 i,S3 Speicher,10.16.212.65,,,HCP S Series (Port 8000),01.05.2016,30.04.2020,HDS,,,,,,,,,,,,A2,,,
