,id,SERIAL_NUMBER,MANUFACTURER,NAME,MODEL,LOCATION,ROOM,ENERGY_CONSUMPTION,BTU,MICROCODE,PATCH_LEVEL,CUSTOMER_ID,HOSTS_APPLICATION,TCPADDR1,TCPADDR2,TCPADDR3,SW_GUI,INVESTMENT_DATE,MAINTENANCE_EXPIRATION_DATE,MAINTENANCE_PROVIDER,MAINTENANCE_CONTRACT,IS_EXTENSION_REQUIRED,IS_MIGRATION_REQUIRED,RAID_CONFIG,USABLE_CAPACITY_GB,CAPACITY_IN_USE_GB,FREE_CAPACITY_GB,EXTENSION,COMMENT_1,STORAGE_TYPE,READADMIN,RACK,COST_CENTER,CO2_KG,SECOND_INVESTMENT_DATE
81,1024,CKM00143102348,EMC,FFM30STGA001,VNX5400,FFM,M4,0,,,,,Diskpool VEEAM HDPS,10.21.2.186,10.21.2.190,,EMC UNISPHERE,01.09.2014,31.08.2019,EMC,,,,,,,,,,,,"15,16",,,
82,1007,785MD35,IBM,FFM30VTLPTC003,Storwize V7000,FFM,M4,0,,,,,VTL Disk Pool,10.21.81.124,,,V3.3.5.1,11.04.2014,11.04.2018,IBM,,,,,735000.0,,,,Simpana / HDPS / ProtecTIER,Backup,,tbd,3310-603,,
83,1006,783XT2C,IBM,FFM30VTLPTC004,Storwize V7000,FFM,M4,0,,,,,VTL Disk Pool,10.21.81.125,,,V3.3.5.1,11.04.2014,11.04.2018,IBM,,,,,735000.0,,,,Simpana / HDPS / ProtecTIER,Backup,,tbd,3310-603,,
84,1005,781ZW1B,IBM,DUS30VTLPTC004,Storwize V7000,DUS,Robi2,0,,,,,VTL Disk Pool,10.16.212.57,,,V3.3.5.1,11.04.2014,11.04.2018,IBM,,,,,735000.0,,,,Simpana / HDPS / ProtecTIER,Backup,,9,3310-603,,
85,1004,780ZC3G,IBM,DUS30VTLPTC003,Storwize V7000,DUS,Robi2,0,,,,,VTL Disk Pool,10.16.212.56,,,V3.3.5.1,11.04.2014,11.04.2018,IBM,,,,,735000.0,,,,Simpana / HDPS / ProtecTIER,Backup,,8,3310-603,,
86,985,92257163,HDS,HKG30STG001,HUS130,"CN, HKG",Telehouse data center,0,,,0985/G-S,622469I,,10.250.4.51,10.250.4.52,,Hitachi Command Suite 8,01.12.2013,30.11.2018,InforsaCom,,,,,,,,,,,,,,,
87,971,M4SJKW1541402,HDS,HNAS Cluster CIFS+KVS,HNAS4060,FFM,M7,0,,,,490863I,CIFS KVS,,,,,01.07.2014,30.6.2018,HDS,,,,,,,,,,,,"H16, H17",,,
88,970,M4SJKW1324303,HDS,HNAS Cluster KVS,HNAS4060,DUS,M6,0,,,,387719 i,KVS,,,,,01.07.2014,30.6.2018,HDS,,,,,,,,,,,,A6+A7,,,
89,969,M4SJKW1403209,HDS,HNAS Cluster CIFS,HNAS4060,DUS,M6,0,,,,387719 i,CIFS,,,,,01.07.2014,30.6.2018,HDS,,,,,,,,,,,,A6+A7,,,
90,967,M4SJKW1403256,HDS,SMU CIFS Cluster FFM,SMU,FFM,M7,0,,11.3.3450.03,,490863I,CIFS Zentral Spiegel,10.21.81.121,,,GUI,01.07.2014,30.6.2018,HDS,,,,,,,,,,,,"H17, H18",,,
91,966,M4SJKW1403209,HDS,SMU CIFS Cluster DUS,SMU,DUS,M6,0,,11.3.3450.03,,387719 i,CIFS Zentral,10.16.212.50,,,GUI,01.07.2014,30.6.2018,HDS,,,,,,,,,,,,A6+A7,,,
92,965,93053243,HDS,HUS150 CIFS KVS,HUS150,FFM,M7,0,,0977/E-H,,490863I,CIFS KVS,10.21.81.122,10.21.81.123,,Hitachi Command Suite 8,01.07.2014,30.06.2018,HDS,,,,,250000.0,,,,,CIFS,,"H17, H18",,,
93,964,93053251,HDS,HUS150 CIFS KVS,HUS150,DUS,M6,0,,0977/E-H,,387719 i,CIFS KVS,10.16.212.52,10.16.212.53,,Hitachi Command Suite 8,01.07.2014,30.6.2018,HDS,,,,,250000.0,,,,,CIFS,,A6+A7,,,
94,945,92a7af0b2211,HDS,HKG30FSRMGB001,HNAS 3090-G2,"CN, HKG",Telehouse data center,0,,,,622469I,VMware MHS and MGB HKG,10.250.4.53,,,Hitachi System Management Unit,01.12.2013,30.11.2018,InforsaCom / HDS,,no,no,,,,,,,,,,,,
95,905,C0202069AA,IBM,FFM30VTLPCT005,Storwize V7000,FFM,M4,0,,,,,VTL Disk Pool,10.21.81.40,10.21.81.41,10.21.81.42,,11.04.2014,,IBM,,,,,,,,,AIX15 ProtecTIER SAP,Backup,,tbd,3310-603,,
96,904,C0202069D4,IBM,FFM30VTLPCT004,Storwize V7000,FFM,M4,0,,,,,VTL Disk Pool,10.21.81.77,10.21.81.78,10.21.81.79,,11.04.2014,,IBM,,,,,,,,,AIX15 ProtecTIER SAP,Backup,,tbd,3310-603,,
97,885,711351000609,NetApp,FFM30STG002,E5460,FFM,M4,1500,,,,,TSM Diskpool,10.21.2.205,,,SANTricity,01.01.2014,31.12.2018,NetApp,,no,no,,51200.0,0,51200,,,Backup,,B15,3310-603,0.9,
98,884,711351000605,NetApp,FFM30STG001,E5460,FFM,M4,1500,,,,,TSM Diskpool,10.21.2.204,,,SANTricity,01.01.2014,31.12.2018,NetApp,,no,no,,51200.0,0,51200,,,Backup,,B14,3310-603,0.9,
99,865,7810850,IBM,XIV08,2812 114 G3,FFM,M7,7000,24000,15 Module,11.4.1,879430,SAP SVC Allg RVG,10.21.151.87,10.21.151.88,10.21.151.89,,22.12.2013,22.12.2017,IBM,,,,,325500.0,113000,212500,,,Block,,H10,3310-601,4.21,
100,864,7810796,IBM,XIV07,2812 114 G3,FFM,M2,7000,24000,15 Module,11.4.1,879430,SAP SVC Allg RVG,10.21.151.84,10.21.151.85,10.21.151.86,,22.12.2013,22.12.2017,IBM,,,,,325500.0,113000,212500,,,Block,,C7,3310-601,4.21,
101,804,97853,HDS,DUS30STG006 (dekom.),VSP,DUS,M6,7000,23288,70-06-02-16/00,,387719 i,Block Storage for MMS REAL + MMS HO,10.16.254.124,,,Hitachi Command Suite 8,31.03.2014,31.03.2018,HDS,,,,,185763.0,,,,,Highend,,A2+A3+A4,,4.21,
102,785,75BHL50,IBM,DS23,2424 DS8870,FFM,M7,17303,"59213,874",7.6.10.511,,,MMS-Inter,10.21.151.80,10.21.151.81,,SSPCFFM01,01.04.2013,04.01.2017,IBM,,,,,169464.0,,,,,,,"G16, G17, G18",3310-601,10.4,
103,784,75BKC60,IBM,DS22,2424 DS8870,FFM,M2,17303,"59213,874",7.6.10.511,,,MMS-Inter,10.21.151.82,10.21.151.83,,SSPCFFM01,01.04.2013,04.01.2017,IBM,,,,,169464.0,,,,,,,"C1, C2, C3",3310-601,10.4,
104,744,210511,HDS,HDSVM01 (dekom.),HUS VM,DUS,M6,0,,73-01-33-00/00,,387719 i,Block Storage for Servers and Virtualization,10.16.254.121,,,Hitachi Command Suite 8,01.04.2013,01.03.2017,HDS,,NO,NO,,259287.0,,,,,,,,,,
105,724,75 RWYVA,IBM,SVCF03,2145-DH8,FFM,M7,220,650,,7.7.1.6,879430,SVC,10.21.151.70,10.21.151.71-78,,,31.03.2015,31.03.2019,IBM,,,,,,,,"75 RWZVA, 75 RXAAA, 75 RXAFA, 75BACK0, 75BACX0, 75BACY0, 75BACM0",GH8-DH8,Virtualisierung,done,H11,3310-601,0.13,
106,705,0002,Mgt FFM,FFM30MANAMSS01,HP,FFM,,0,,,,,Management SAN und Storage,10.21.81.27,,,,,,,,,,,,,,,,,,,,,
107,704,0001,Mgt DUS,DUS30MANAMSS01,HP,DUS,,0,,,,,Management SAN und Storage,10.16.96.34,,,,,,,,,,,,,,,,,,,,,
108,665,78RE5LC,IBM,DUS30STG003,Storwize V7000,DUS,Robi2,0,,6.4.1.4,,323087,TSM AIX,10.16.254.112,10.16.254.113,10.16.254.114,,15.04.2013,15.04.2017,IBM,,,,,106000.0,,,"78RE1ZB, 78RE28T, 78RE1Z9,78RE1ZC,78RE29C, 78N2PB6, 78RE29G",2076-324,Backup,,5,,,
109,664,78RE5HG,IBM,DUS30STG004,Storwize V7000,DUS,Robi2,0,,6.4.1.4,,323087,TSM AIX,10.16.254.115,10.16.254.116,10.16.254.117,,15.04.2013,15.04.2017,IBM,,,,,106000.0,,,"78N2V8Y, 78RE1WN,78N2PLN,78RE1Y9,78RE1EG,78N2VRH,78N2PL7",2076-324,Backup,,4,,,
110,649,200000676180,NetApp,ffm30manc00-04,FAS6240 (dekom.),FFM,M7,3020,,,,,Exchange 2010,10.21.75.4,,,SystemOnCommand manager,01.01.2013,31.12.2016,NetApp,,,,,,,,,,,,E11,Exchange,1.82,
111,648,200000675708,NetApp,ffm30manc00-03,FAS6240 (dekom.),FFM,M7,2591,,,,,Exchange 2010,10.21.75.3,,,SystemOnCommand manager,01.01.2013,31.12.2016,NetApp,,,,,,,,,,,,E10,Exchange,1.56,
112,647,200000675681,NetApp,ffm30manc00-02,FAS6240 (dekom.),FFM,M7,3020,,,,,Exchange 2010,10.21.75.2,,,SystemOnCommand manager,01.01.2013,31.12.2016,NetApp,,,,,,,,,,,,E9,Exchange,1.82,
113,646,800000131443,NetApp,ffm30manc00-01,FAS6240 (dekom.),FFM,M7,2591,,,,,Exchange 2010,10.21.75.1,,,SystemOnCommand manager,01.01.2013,31.12.2016,NetApp,,,,,,,,,,,,E8,Exchange,1.56,
114,645,00000000000,NetApp,ffm30manc00,virtueller Cluster (dekom.),FFM,M7,0,,,,,Exchange 2010,10.21.75.19,,,SystemOnCommand manager,01.01.2013,31.12.2016,NetApp,,,,,,,,,,,,E8-11,Exchange,,
115,644,00000000000,NetApp,dus30manc00,virtueller Cluster (dekom.),DUS,M6,0,,,,,Exchange 2010,10.24.17.9,,,SystemOnCommand manager,01.01.2013,03.2017,NetApp,,,,,,,,,,,,D1-4,,,
116,527,200000675411,NetApp,dus30manc00-04,FAS6240 (dekom.),DUS,M6,3020,,,,,Exchange 2010,,,,,,03.2017,,,,,,59597.0,0,59597,,,,,D4,Exchange,1.82,
117,526,200000675409,NetApp,dus30manc00-03,FAS6240 (dekom.),DUS,M6,2591,,,,,Exchange 2010,,,,,,03.2017,,,,,,75981.0,0,75981,,,,,D3,Exchange,1.56,
118,525,200000675382,NetApp,dus30manc00-02,FAS6240 (dekom.),DUS,M6,3020,,,,,Exchange 2010,,,,,,03.2017,,,,,,59597.0,0,59597,,,,,D2,Exchange,1.82,
119,524,200000675394,NetApp,dus30manc00-01,FAS6240 (dekom.),DUS,M6,2591,,,,,Exchange 2010,,,,,,03.2017,,,,,,75981.0,0,75981,,,,,D1,Exchange,1.56,
120,484,2FZ2338361,EMC DataDomain,ZUG88VTL001,DD640,"CH, Baar",RZ,0,,,5.4.1.1-411752,,TSM Windows virt. Tapepool,164.139.16.175,,,Data Domain System Manager,01.12.2012,05.12.2016,Orchestra,,,,,30038.0,"0,1",30038,,,Backup,,,,,
121,464,75PTTFA,IBM,SVCF02,2145-DH8,FFM,M2,220,650,,7.7.1.6,879430,SVC,10.21.151.60,10.21.151.61-68,,,31.03.2015,31.03.2019,IBM,,,,,,,,"75PTVMA, 75PTWLA, 75PTWTA, 75BACV0, 75BADD0, 75BADB0, 75BACR0",GH8-DH8,Virtualisierung,done,A19,3310-601,0.13,
122,341,2FZ1738295,EMC DataDomain,FFM30VTLDD02,DD990,FFM,M4,4800,,,5.5.0.9-471508,17628,"TSM Windows virt. Tapepool, VEEAM NFS Pool",10.21.81.33,10.21.81.34,10.21.81.28,Data Domain System Manager,01.10.2012,30.10.2016,Orchestra,,,,,109523.0,37606,71917,,,Backup,,"31 oder (20,21,20)",3310-603,2.88,
123,336,78K1G9G,IBM,DS21,1814 20A DS5020,FFM,M5,600,1529,07.77.20,,879430,TSM-SAP,10.21.151.55,10.21.151.56,,SSPCFFM01,01.04.2012,17.04.2016,IBM,,,,,46788.0,46658,131,,,Backup,,10a oder 10b,3310-601,0.36,
124,335,75AFW50,IBM,DS03 (dekom.),2424 951 DS8800,DUS,M3,13921,"47640,328",76.20.510,,323087,HO MMS,10.16.254.97,10.16.254.98,,SSPCDUS02,26.04.2012,26.04.2016,IBM,,,,,70850.0,35000,35850,,,,done,,,8.37,
125,334,7825326,IBM,XIV05,2812 114 G3,FFM,M1,7000,24000,15 Module,11.1.1,879430,SAP SVC Allg RVG,10.21.151.49,10.21.151.50,,,01.04.2012,04.01.2016,IBM,,,,,132847.0,104389,28458,,,Block,,15,3310-601,4.21,
126,333,2FZ2310107,EMC DataDomain,HCM11VTLDD01,DD640,"VN, HCMC",RZ,0,,,5.4.1.1-411752,,"TSM Windows virt. Tapepool, VEEAM NFS Pool",10.138.71.213,,,Data Domain System Manager,01.06.2012,19.03.2016,Orchestra,,,,,7715.0,7581,133,,,Backup,,,,,
127,331,7820334,IBM,XIV06,2812 114 G3,FFM,M4,7000,24000,15 Module,11.1.1,879430,SAP SVC Allg RVG,10.21.151.52,10.21.151.53,,,01.04.2012,04.01.2016,IBM,,,,,132847.0,105341,27506,,,Block,,33,3310-601,4.21,
128,327,75YC970,IBM,DS01,2107 DS8800,FFM,M1,17303,"59213,874",86.31.86.0,,879430,Siebel,10.21.151.36,10.21.151.37,,SSPCFFM01,23.09.2011,23.09.2015,IBM,,,,,102113.0,55507,46606,,,,done,"23a, 23b, 23c",Siebel,10.4,
129,293,75VN900,IBM,DS18 (dekom.),2107 DS8700,DUS,M5,11513,"39398,913",,,323087,INT HO,10.16.254.87,10.16.254.88,,SSPCDUS02,30.09.2010,30.09.2014,IBM,,,,,29264.0,24801,4463,"75VN760, 75VN900",,,done,,,6.92,
130,289,75XT150,IBM,DS02,2107 DS8800,FFM,M3,17303,"59213,874",86.31.86.0,,879430,Siebel,10.21.151.38,10.21.151.39,,SSPCFFM01,23.09.2011,23.09.2015,IBM,,,,,102113.0,55507,46606,,,,done,"23a, 23b, 23c",Siebel,10.4,
131,288,75TG490,IBM,DS17 (dekom.),2107 DS8700,FFM,M3,11513,"39398,913",75.15.84.0,,879430,GH / MMS-Inter,10.21.151.22,10.21.151.23,,SSPCFFM01,06.04.2011,06.04.2014,IBM,,,,,29264.0,23006,6258,"75TG490, 75TH980",,,done,"24a, 24b",3310-601,6.92,
132,286,75TG651,IBM,DS16 (dekom.),2107 DS8700,FFM,M1,11513,"39398,913",75.15.84.0,,879430,MMS-Inter,10.21.151.20,10.21.151.21,,SSPCFFM01,06.04.2009,06.04.2014,IBM,,,,,75110.0,59536,15574,"75TG650, 75TK000, 75VT480",,,done,"24a, 24b, 24c",3310-601,6.92,
133,278,75BACT0,IBM,SVCD01,2145,DUS,H1M3-H2M4,220,650,,7.7.1.6,323087,SVC,10.16.254.100,10.16.254.101-108,,,31.03.2015,31.03.2019,IBM,,,,,,,,"75BADC0, 75BACZ0, 75BACN0",GH8-DH8,Virtualisierung,done,F7-F7,3310-601,0.13,
134,272,75KPKNA,IBM,SVCF01,2145,FFM,M2,220,650,,7.7.1.6,879430,SVC,10.21.151.40,10.21.151.41-48,,,31.03.2015,31.03.2019,IBM,,,,,,,,"75KPBWA, 75KPKRA, 75KPMBA, 75MFDAA, 75MFDBA, 75MFDYA, 75BACL0, 75BACP0, 75BACW0, 75BADA0",GH8-DH8,Virtualisierung,done,A19,3310-601,0.13,
135,265,7502762,IBM,SSPCFFM02  (dekom.),2805 MC4,FFM,M3,700,2302,,Windows 2008,879430,TPC Server 10;,10.21.151.12,,,,13.04.2010,06.04.2014,IBM,,,,,,,,,,,,,3310-601,0.42,
136,264,7502761,IBM,SSPCF02  (dekom.),2805 MC2,FFM,M3,700,2390,,Windows 2003,879430,,10.21.144.39,,,,07.11.2008,07.11.2012,IBM,,,,,,,,,,,,,3310-601,0.42,
137,263,700000161290,NetApp,BLG11FSR002,FAS2020C,"RS, Belgrad",RZ,0,,,,,CIFS/Exchange,10.143.74.41,,,,,29.02.2012,,,,,,,,,,,,,,,,
138,262,700000130459,NetApp,BLG11FSR001,FAS2020C,"RS, Belgrad",RZ,0,,,,,CIFS/Exchange,10.143.74.40,,,,,29.02.2012,,,,,,,,,,,,,,,,
139,261,500000066317,NetApp,tok11fsrp03,FAS2020,"JP, Tokio",RZ,0,,,,,,10.140.135.153,,,,,30.06.2016,,,,,,,,,,,,,,,,
140,260,500000059625,NetApp,hcm11fsr001,FAS2050C,"VN, Ho-Chi-Minh-Stadt",RZ,0,,,,,,10.138.71.238,,,,,30.04.2014,,,,,,,,,,,,,,,,
141,259,500000059613,NetApp,hcm11fsr002,FAS2050C,"VN, Ho-Chi-Minh-Stadt",RZ,0,,,,,,10.138.71.240,,,,,30.04.2014,,,,,,,,,,,,,,,,
142,258,500000059601,NetApp,sha11fasp001,FAS2050C,"CN, Shanghai",RZ,0,,,,,,,,,,,28.02.2014,,,,,,,,,,,,,,,,
143,257,500000059596,NetApp,sha11fasp002,FAS2050C,"CN, Shanghai",RZ,0,,,,,,,,,,,28.02.2014,,,,,,,,,,,,,,,,
144,256,500000059584,NetApp,tok11fsrp01,FAS2050C,"JP, Tokio",RZ,0,,,,,,10.140.135.151,,,,,30.04.2014,,,,,,,,,,,,,,,,
145,255,500000059572,NetApp,tok11fsrp02,FAS2050C,"JP, Tokio",RZ,0,,,,,,10.140.135.152,,,,,30.04.2014,,,,,,,,,,,,,,,,
146,252,211411122,NetApp,KIV11FSRP01,FAS270C,"UA, Kiew",RZ,0,,nur putty,,,CIFS/Exchange,10.141.135.142,,,,,30.10.2010,,,,,,,,,,,,,,,,
147,251,211411111,NetApp,KIV11FSRP02,FAS270C,"UA, Kiew",RZ,0,,nur putty,,,CIFS/Exchange,10.141.135.141,,,,,30.10.2010,,,,,,,,,,,,,,,,
148,249,2080781,NetApp,MIL11FSR004,FAS2050C,"IT, San Donato Milanese",RZ,0,,,,,CIFS/Exchange,,,,,,30.11.2011,,,,,,,,,,,,,,,,
149,248,2080780,NetApp,MIL11FSR005,FAS2050C,"IT, San Donato Milanese",RZ,0,,,,,CIFS/Exchange,,,,,,30.11.2011,,,,,,,,,,,,,,,,
150,245,20014296,NetApp,CAI11FSR002,FAS2050C,"EG, Cairo",RZ,0,,,,,"CIFS, ESX",10.148.196.216,,,,,30.11.2012,,,,,,,,,,,,,,,,
151,244,20014295,NetApp,CAI11FSR001,FAS2050C,"EG, Cairo",RZ,0,,,,,"CIFS, ESX",10.148.196.215,,,,,30.11.2012,,,,,,,,,,,,,,,,
152,241,20010526,NetApp,ATA11FSR001,FAS2050C,"KZ, Amaty",RZ,0,,,,,"CIFS, ESX",10.148.68.157,,,,,31.12.2012,,,,,,,,,,,,,,,,
153,240,20010525,NetApp,ATA11FSR002,FAS2050C,"KZ, Amaty",RZ,0,,,,,"CIFS, ESX",10.148.68.159,,,,,31.12.2012,,,,,,,,,,,,,,,,
154,239,20003289,NetApp,MAD11FSR001,FAS2050C,"ES, Madrid",RZ,0,,,,,CIFS/Exchange,10.147.13.192,,,,,31.03.2012,,,,,,,,,,,,,,,,
155,238,20003288,NetApp,MAD11FSR002,FAS2050C,"ES, Madrid",RZ,0,,,,,CIFS/Exchange,10.147.13.190,,,,,31.03.2012,,,,,,,,,,,,,,,,
156,237,20003187,NetApp,BAN11FSR002,FAS2050C,"IN, Bangalore",RZ,0,,,,,"CIFS/Exchange, Oracle, SAP",10.141.68.207,,,,,31.03.2012,,,,,,,,,,,,,,,,
157,236,20003186,NetApp,BAN11FSR001,FAS2050C,"IN, Bangalore",RZ,0,,,,,"CIFS/Exchange, Oracle, SAP",10.141.68.205,,,,,31.03.2012,,,,,,,,,,,,,,,,
158,227,200000336534,NetApp,IST30FSR001,FAS3240,"TR, Istanbul",RZ,0,,,,,CIFS/Exchange,10.17.28.241,,,,,31.05.2015,,,,,,,,,,,,,,,,
159,226,200000336522,NetApp,IST30FSR002,FAS3240,"TR, Istanbul",RZ,0,,,,,CIFS/Exchange,10.17.28.240,,,,,31.05.2015,,,,,,,,,,,,,,,,
160,214,200000194467,NetApp,bud11fsr002,FAS2040C,"HU, Budaoers",RZ,0,,,,,,10.138.135.142,,,,,31.08.2014,,,,,,1256.0,667,589,,,,,,,,
161,213,200000194455,NetApp,bud11fsr001,FAS2040C,"HU, Budaoers",RZ,0,,,,,,10.138.135.143,,,,,31.08.2014,,,,,,7313.0,5053,2260,,,,,,,,
162,208,1FZ0929014,EMC DataDomain,IST30VTLDD01,DD670,"TR, Istanbul",RZ,0,,,5.4.1.1-411752,,"TSM Windows virt. Tapepool, VEEAM NFS Pool",10.17.28.230,10.10.10.155,,Data Domain System Manager,,02.08.2015,Orchestra,,,,,29731.0,12422,17308,,,Backup,,,,,
163,206,1FZ0318026,EMC DataDomain,BLG11VTL001,DD610,"RS, Belgrad",RZ,0,1157,,5.4.1.1-411752,17596,"VEEAM NFS Pool, HDPS VTL",10.143.74.37,,,Data Domain System Manager,,19.06.2015,Orchestra,,,,,3689.0,1418,2271,,,Backup,,,,,
164,205,2FZ0947069,EMC DataDomain,PRG11VTL1P02.CZ.MADM.NET,DD670,"CZ, Prag",RZ,0,,,5.4.1.1-411752,,"VEEAM NFS Pool, HDPS VTL",10.143.196.210,,,Data Domain System Manager,11.2012,10.2016,Comparex,,,,,18527.0,15944,2583,,,Backup,,,,,
165,204,1F40322220,EMC DataDomain,SOF11VTL001.BG.R4.MADM.NET,DD610,"BG, Sofia",RZ,0,1157,,5.4.1.1-411752,17044,"VEEAM NFS Pool, HDPS VTL",10.254.7.13,,,Data Domain System Manager,29.09.2011,26.08.2014,Orchestra,Premium is not possible in this area; only Enhanced,,,,3655.0,885,2770,,,Backup,,,,,
166,203,1F40302566,EMC DataDomain,BTS11VTL1P01,DD610,"SK, Bratislava",RZ,0,1157,,5.4.1.1-411752,,"VEEAM NFS Pool, HDPS VTL",10.21.81.31,,,Data Domain System Manager,,16.02.2015,Comparex,,,,,3678.0,1911,1767,,,Backup,,,,,
167,200,0F40948287,EMC DataDomain,DMN11VTL001,DD670,"NL, Diemen",RZ,0,,,5.4.1.1-411752,17234,"VEEAM NFS Pool, HDPS VTL",10.142.144.155,10.10.10.155,,Data Domain System Manager,02.12.2010,01.12.2014,Orchestra,,,,,18672.0,9152,9520,,,Backup,,,,,
168,199,FLA22143500030,EMC DataDomain,BUD11VTL002.R3.MADM.NET,DD2200,"HU, Budaoers",RZ,0,,,5.5.0.4-430231,16994,"VEEAM NFS Pool, HDPS VTL",10.138.135.216,,,Data Domain System Manager,11.2014,10.2019,Orchestra,,,,,15929.0,6730,9199,,,Backup,,,,,
169,198,0F40322509,EMC DataDomain,LHE11VTL001,DD610,"PK, Lahore",RZ,0,,,5.4.1.1-411752,16939,"VEEAM NFS Pool, HDPS VTL",10.148.32.151,,,Data Domain System Manager,18.06.2010,17.06.2014,Orchestra,Premium is not possible in this area only Enhanced; also no EUR - USD only,,,,3661.0,3046,"614,6",,,Backup,,,,,
170,190,7510018,IBM,SSPCD03 (dekom.),2805 MC3,DUS,H2-M6,700,2390,,Windows 2003,323087,,,,,,18.12.2009,18.12.2013,IBM,,,,,,,,,,,,,,0.42,
171,189,7510015,IBM,SSPCFFM01 (dekom.),2805 MC4,FFM,M1,700,2302,,Windows 2008,879430,TPC Server 5;,10.21.151.11,,,,06.04.2010,06.04.2014,IBM,,,,,,,,,,,,25,3310-601,0.42,
172,188,7508572,IBM,SSPCD01 (dekom.),2805 MC3,DUS,H2-M5,700,2390,System X3550,Windows 2008,323087,TPC Server 10;,10.16.254.75,,,,01.01.2007,01.01.2011,IBM,,,,,,,,,,,,,,0.42,
173,186,7507771,IBM,SSPCD02 (dekom.),2805 MC3,DUS,H1-M2,700,2390,System X3550,Windows 2008,323087,TPC Server 5;,10.16.254.76,,,,18.12.2009,18.12.2013,IBM,,,,,,,,,,,,,,0.42,
174,185,6005517,IBM,XIV03 (dekom.),2812 A14,DUS,H1-M2,8400,28500,15 Module,10.2.4.c,323087,INT HO,10.16.254.89,10.16.254.91,,,29.09.2010,29.09.2014,IBM,,,,,43087.0,43087,0,,,,,1,3310-601,5.05,
175,184,7804252,IBM,XIV02 (dekom.),2812 A14,FFM,M1,8400,28500,15 Module,10.2.4.e,879430,TSM GH INT RVG,10.21.151.31,10.21.151.33,,,23.09.2010,23.09.2014,IBM,,,,,79113.0,56963,22150,,,Block,,26,3310-601,5.05,15.08.2011
176,183,6005830,IBM,XIV04 (dekom.),2812 A14,DUS,H2-M4,8400,19400,15 Module,10.2.4.c,323087,INT HO,10.16.254.94,10.16.254.96,,,15.08.2011,15.08.2015,IBM,,,,,43087.0,43087,0,,,,,1,3310-601,5.05,
